МАРКА,МОДЕЛЬ,ГОД,КОЛИЧЕСТВО
Acura,acura-rdx,2017,45
Acura,acura-rdx,2018,431
Acura,acura-rdx,2019,1764
Acura,acura-rdx,2020,915
Acura,acura-rdx,2021,1361
Acura,acura-rdx,2022,644
Acura,acura-rdx,2023,318
Acura,acura-rdx,2024,0
Acura,acura-rl,2000,39
Acura,acura-rl,2001,176
Acura,acura-rl,2002,489
Acura,acura-rl,2003,853
Acura,acura-rl,2004,446
Acura,acura-rl,2005,700
Acura,acura-rl,2006,754
Acura,acura-rl,2007,2192
Acura,acura-rl,2008,2188
Acura,acura-rl,2009,1051
Acura,acura-rl,2010,793
Acura,acura-rl,2011,991
Acura,acura-rl,2012,116
Acura,acura-rl,2013,448
Acura,acura-rl,2014,118
Acura,acura-rl,2015,129
Acura,acura-rl,2016,289
Acura,acura-rl,2017,45
Acura,acura-rl,2018,431
Acura,acura-rl,2019,1764
Acura,acura-rl,2020,915
Acura,acura-rl,2021,1361
Acura,acura-rl,2022,644
Acura,acura-rl,2023,318
Acura,acura-rl,2024,0
Acura,acura-rlx,2000,39
Acura,acura-rlx,2001,176
Acura,acura-rlx,2002,489
Acura,acura-rlx,2003,853
Acura,acura-rlx,2004,446
Acura,acura-rlx,2005,700
Acura,acura-rlx,2006,754
Acura,acura-rlx,2007,2192
Acura,acura-rlx,2008,2188
Acura,acura-rlx,2009,1051
Acura,acura-rlx,2010,793
Acura,acura-rlx,2011,991
Acura,acura-rlx,2012,116
Acura,acura-rlx,2013,448
Acura,acura-rlx,2014,118
Acura,acura-rlx,2015,129
Acura,acura-rlx,2016,289
Acura,acura-rlx,2017,45
Acura,acura-rlx,2018,431
Acura,acura-rlx,2019,1764
Acura,acura-rlx,2020,915
Acura,acura-rlx,2021,1361
Acura,acura-rlx,2022,644
Acura,acura-rlx,2023,318
Acura,acura-rlx,2024,0
Acura,acura-rsx,2000,39
Acura,acura-rsx,2001,176
Acura,acura-rsx,2002,489
Acura,acura-rsx,2003,853
Acura,acura-rsx,2004,446
Acura,acura-rsx,2005,700
Acura,acura-rsx,2006,754
Acura,acura-rsx,2007,2192
Acura,acura-rsx,2008,2188
Acura,acura-rsx,2009,1051
Acura,acura-rsx,2010,793
Acura,acura-rsx,2011,991
Acura,acura-rsx,2012,116
Acura,acura-rsx,2013,448
Acura,acura-rsx,2014,118
Acura,acura-rsx,2015,129
Acura,acura-rsx,2016,289
Acura,acura-rsx,2017,45
Acura,acura-rsx,2018,431
Acura,acura-rsx,2019,1764
Acura,acura-rsx,2020,915
Acura,acura-rsx,2021,1361
Acura,acura-rsx,2022,644
Acura,acura-rsx,2023,318
Acura,acura-rsx,2024,0
Acura,acura-slx,2000,39
Acura,acura-slx,2001,176
Acura,acura-slx,2002,489
Acura,acura-slx,2003,853
Acura,acura-slx,2004,446
Acura,acura-slx,2005,700
Acura,acura-slx,2006,754
Acura,acura-slx,2007,2192
Acura,acura-slx,2008,2188
Acura,acura-slx,2009,1051
Acura,acura-slx,2010,793
Acura,acura-slx,2011,991
Acura,acura-slx,2012,116
Acura,acura-slx,2013,448
Acura,acura-slx,2014,118
Acura,acura-slx,2015,129
Acura,acura-slx,2016,289
Acura,acura-slx,2017,45
Acura,acura-slx,2018,431
Acura,acura-slx,2019,1764
Acura,acura-slx,2020,915
Acura,acura-slx,2021,1361
Acura,acura-slx,2022,644
Acura,acura-slx,2023,318
Acura,acura-slx,2024,0
Acura,acura-tl,2000,39
Acura,acura-tl,2001,176
Acura,acura-tl,2002,489
Acura,acura-tl,2003,853
Acura,acura-tl,2004,446
Acura,acura-tl,2005,700
Acura,acura-tl,2006,754
Acura,acura-tl,2007,2192
Acura,acura-tl,2008,2188
Acura,acura-tl,2009,1051
Acura,acura-tl,2010,793
Acura,acura-tl,2011,991
Acura,acura-tl,2012,116
Acura,acura-tl,2013,448
Acura,acura-tl,2014,118
Acura,acura-tl,2015,129
Acura,acura-tl,2016,289
Acura,acura-tl,2017,45
Acura,acura-tl,2018,431
Acura,acura-tl,2019,1764
Acura,acura-tl,2020,915
Acura,acura-tl,2021,1361
Acura,acura-tl,2022,644
Acura,acura-tl,2023,318
Acura,acura-tl,2024,0
Acura,acura-tlx,2000,39
Acura,acura-tlx,2001,176
Acura,acura-tlx,2002,489
Acura,acura-tlx,2003,853
Acura,acura-tlx,2004,446
Acura,acura-tlx,2005,700
Acura,acura-tlx,2006,754
Acura,acura-tlx,2007,2192
Acura,acura-tlx,2008,2188
Acura,acura-tlx,2009,1051
Acura,acura-tlx,2010,793
Acura,acura-tlx,2011,991
Acura,acura-tlx,2012,116
Acura,acura-tlx,2013,448
Acura,acura-tlx,2014,118
Acura,acura-tlx,2015,129
Acura,acura-tlx,2016,289
Acura,acura-tlx,2017,45
Acura,acura-tlx,2018,431
Acura,acura-tlx,2019,1764
Acura,acura-tlx,2020,915
Acura,acura-tlx,2021,1361
Acura,acura-tlx,2022,644
Acura,acura-tlx,2023,318
Acura,acura-tlx,2024,0
Acura,acura-tsx,2000,39
Acura,acura-tsx,2001,176
Acura,acura-tsx,2002,489
Acura,acura-tsx,2003,853
Acura,acura-tsx,2004,446
Acura,acura-tsx,2005,700
Acura,acura-tsx,2006,754
Acura,acura-tsx,2007,2192
Acura,acura-tsx,2008,2188
Acura,acura-tsx,2009,1051
Acura,acura-tsx,2010,793
Acura,acura-tsx,2011,991
Acura,acura-tsx,2012,116
Acura,acura-tsx,2013,448
Acura,acura-tsx,2014,118
Acura,acura-tsx,2015,129
Acura,acura-tsx,2016,289
Acura,acura-tsx,2017,45
Acura,acura-tsx,2018,431
Acura,acura-tsx,2019,1764
Acura,acura-tsx,2020,915
Acura,acura-tsx,2021,1361
Acura,acura-tsx,2022,644
Acura,acura-tsx,2023,318
Acura,acura-tsx,2024,0
Acura,acura-zdx,2000,39
Acura,acura-zdx,2001,176
Acura,acura-zdx,2002,489
Acura,acura-zdx,2003,853
Acura,acura-zdx,2004,446
Acura,acura-zdx,2005,700
Acura,acura-zdx,2006,754
Acura,acura-zdx,2007,2192
Acura,acura-zdx,2008,2188
Acura,acura-zdx,2009,1051
Acura,acura-zdx,2010,793
Acura,acura-zdx,2011,991
Acura,acura-zdx,2012,116
Acura,acura-zdx,2013,448
Acura,acura-zdx,2014,118
Acura,acura-zdx,2015,129
Acura,acura-zdx,2016,289
Acura,acura-zdx,2017,45
Acura,acura-zdx,2018,431
Acura,acura-zdx,2019,1764
Acura,acura-zdx,2020,915
Acura,acura-zdx,2021,1361
Acura,acura-zdx,2022,644
Acura,acura-zdx,2023,318
Acura,acura-zdx,2024,0
Alfa Romeo,alfaromeo-145,2000,480113
Alfa Romeo,alfaromeo-145,2001,458986
Alfa Romeo,alfaromeo-145,2002,510066
Alfa Romeo,alfaromeo-145,2003,640076
Alfa Romeo,alfaromeo-145,2004,653128
Alfa Romeo,alfaromeo-145,2005,665094
Alfa Romeo,alfaromeo-145,2006,669602
Alfa Romeo,alfaromeo-145,2007,725525
Alfa Romeo,alfaromeo-145,2008,706535
Alfa Romeo,alfaromeo-145,2009,481056
Alfa Romeo,alfaromeo-145,2010,511092
Alfa Romeo,alfaromeo-145,2011,465939
Alfa Romeo,alfaromeo-145,2012,472529
Alfa Romeo,alfaromeo-145,2013,400834
Alfa Romeo,alfaromeo-145,2014,386714
Alfa Romeo,alfaromeo-145,2015,402579
Alfa Romeo,alfaromeo-145,2016,371803
Alfa Romeo,alfaromeo-145,2017,385451
Alfa Romeo,alfaromeo-145,2018,410133
Alfa Romeo,alfaromeo-145,2019,291821
Alfa Romeo,alfaromeo-145,2020,233224
Alfa Romeo,alfaromeo-145,2021,137912
Alfa Romeo,alfaromeo-145,2022,68201
Alfa Romeo,alfaromeo-145,2023,19806
Alfa Romeo,alfaromeo-145,2024,2230
Alfa Romeo,alfaromeo-146,2000,480113
Alfa Romeo,alfaromeo-146,2001,458986
Alfa Romeo,alfaromeo-146,2002,510066
Alfa Romeo,alfaromeo-146,2003,640076
Alfa Romeo,alfaromeo-146,2004,653128
Alfa Romeo,alfaromeo-146,2005,665094
Alfa Romeo,alfaromeo-146,2006,669602
Alfa Romeo,alfaromeo-146,2007,725525
Alfa Romeo,alfaromeo-146,2008,706535
Alfa Romeo,alfaromeo-146,2009,481056
Alfa Romeo,alfaromeo-146,2010,511092
Alfa Romeo,alfaromeo-146,2011,465939
Alfa Romeo,alfaromeo-146,2012,472529
Alfa Romeo,alfaromeo-146,2013,400834
Alfa Romeo,alfaromeo-146,2014,386714
Alfa Romeo,alfaromeo-146,2015,402579
Alfa Romeo,alfaromeo-146,2016,371803
Alfa Romeo,alfaromeo-146,2017,385451
Alfa Romeo,alfaromeo-146,2018,410133
Alfa Romeo,alfaromeo-146,2019,291821
Alfa Romeo,alfaromeo-146,2020,233224
Alfa Romeo,alfaromeo-146,2021,137912
Alfa Romeo,alfaromeo-146,2022,68201
Alfa Romeo,alfaromeo-146,2023,19806
Alfa Romeo,alfaromeo-146,2024,2230
Alfa Romeo,alfaromeo-147,2000,480113
Alfa Romeo,alfaromeo-147,2001,458986
Alfa Romeo,alfaromeo-147,2002,510066
Alfa Romeo,alfaromeo-147,2003,640076
Alfa Romeo,alfaromeo-147,2004,653128
Alfa Romeo,alfaromeo-147,2005,665094
Alfa Romeo,alfaromeo-147,2006,669602
Alfa Romeo,alfaromeo-147,2007,725525
Alfa Romeo,alfaromeo-147,2008,706535
Alfa Romeo,alfaromeo-147,2009,481056
Alfa Romeo,alfaromeo-147,2010,511092
Alfa Romeo,alfaromeo-147,2011,465939
Alfa Romeo,alfaromeo-147,2012,472529
Alfa Romeo,alfaromeo-147,2013,400834
Alfa Romeo,alfaromeo-147,2014,386714
Alfa Romeo,alfaromeo-147,2015,402579
Alfa Romeo,alfaromeo-147,2016,371803
Alfa Romeo,alfaromeo-147,2017,385451
Alfa Romeo,alfaromeo-147,2018,410133
Alfa Romeo,alfaromeo-147,2019,291821
Alfa Romeo,alfaromeo-147,2020,233224
Alfa Romeo,alfaromeo-147,2021,137912
Alfa Romeo,alfaromeo-147,2022,68201
Alfa Romeo,alfaromeo-147,2023,19806
Alfa Romeo,alfaromeo-147,2024,2230
Alfa Romeo,alfaromeo-155,2000,480113
Alfa Romeo,alfaromeo-155,2001,458986
Alfa Romeo,alfaromeo-155,2002,510066
Alfa Romeo,alfaromeo-155,2003,640076
Alfa Romeo,alfaromeo-155,2004,653128
Alfa Romeo,alfaromeo-155,2005,665094
Alfa Romeo,alfaromeo-155,2006,669602
Alfa Romeo,alfaromeo-155,2007,725525
Alfa Romeo,alfaromeo-155,2008,706535
Alfa Romeo,alfaromeo-155,2009,481056
Alfa Romeo,alfaromeo-155,2010,511092
Alfa Romeo,alfaromeo-155,2011,465939
Alfa Romeo,alfaromeo-155,2012,472529
Alfa Romeo,alfaromeo-155,2013,400834
Alfa Romeo,alfaromeo-155,2014,386714
Alfa Romeo,alfaromeo-155,2015,402579
Alfa Romeo,alfaromeo-155,2016,371803
Alfa Romeo,alfaromeo-155,2017,385451
Alfa Romeo,alfaromeo-155,2018,410133
Alfa Romeo,alfaromeo-155,2019,291821
Alfa Romeo,alfaromeo-155,2020,233224
Alfa Romeo,alfaromeo-155,2021,137912
Alfa Romeo,alfaromeo-155,2022,68201
Alfa Romeo,alfaromeo-155,2023,19806
Alfa Romeo,alfaromeo-155,2024,2230
Alfa Romeo,alfaromeo-156,2000,480113
Alfa Romeo,alfaromeo-156,2001,458986
Alfa Romeo,alfaromeo-156,2002,510066
Alfa Romeo,alfaromeo-156,2003,640076
Alfa Romeo,alfaromeo-156,2004,653128
Alfa Romeo,alfaromeo-156,2005,665094
Alfa Romeo,alfaromeo-156,2006,669602
Alfa Romeo,alfaromeo-156,2007,725525
Alfa Romeo,alfaromeo-156,2008,706535
Alfa Romeo,alfaromeo-156,2009,481056
Alfa Romeo,alfaromeo-156,2010,511092
Alfa Romeo,alfaromeo-156,2011,465939
Alfa Romeo,alfaromeo-156,2012,472529
Alfa Romeo,alfaromeo-156,2013,400834
Alfa Romeo,alfaromeo-156,2014,386714
Alfa Romeo,alfaromeo-156,2015,402579
Alfa Romeo,alfaromeo-156,2016,371803
Alfa Romeo,alfaromeo-156,2017,385451
Alfa Romeo,alfaromeo-156,2018,410133
Alfa Romeo,alfaromeo-156,2019,291821
Alfa Romeo,alfaromeo-156,2020,233224
Alfa Romeo,alfaromeo-156,2021,137912
Alfa Romeo,alfaromeo-156,2022,68201
Alfa Romeo,alfaromeo-156,2023,19806
Alfa Romeo,alfaromeo-156,2024,2230
Alfa Romeo,alfaromeo-159,2000,480113
Alfa Romeo,alfaromeo-159,2001,458986
Alfa Romeo,alfaromeo-159,2002,510066
Alfa Romeo,alfaromeo-159,2003,640076
Alfa Romeo,alfaromeo-159,2004,653128
Alfa Romeo,alfaromeo-159,2005,665094
Alfa Romeo,alfaromeo-159,2006,669602
Alfa Romeo,alfaromeo-159,2007,725525
Alfa Romeo,alfaromeo-159,2008,706535
Alfa Romeo,alfaromeo-159,2009,481056
Alfa Romeo,alfaromeo-159,2010,511092
Alfa Romeo,alfaromeo-159,2011,465939
Alfa Romeo,alfaromeo-159,2012,472529
Alfa Romeo,alfaromeo-159,2013,400834
Alfa Romeo,alfaromeo-159,2014,386714
Alfa Romeo,alfaromeo-159,2015,402579
Alfa Romeo,alfaromeo-159,2016,371803
Alfa Romeo,alfaromeo-159,2017,385451
Alfa Romeo,alfaromeo-159,2018,410133
Alfa Romeo,alfaromeo-159,2019,291821
Alfa Romeo,alfaromeo-159,2020,233224
Alfa Romeo,alfaromeo-159,2021,137912
Alfa Romeo,alfaromeo-159,2022,68201
Alfa Romeo,alfaromeo-159,2023,19806
Alfa Romeo,alfaromeo-159,2024,2230
Alfa Romeo,alfaromeo-164,2000,480113
Alfa Romeo,alfaromeo-164,2001,458986
Alfa Romeo,alfaromeo-164,2002,510066
Alfa Romeo,alfaromeo-164,2003,640076
Alfa Romeo,alfaromeo-164,2004,653128
Alfa Romeo,alfaromeo-164,2005,665094
Alfa Romeo,alfaromeo-164,2006,669602
Alfa Romeo,alfaromeo-164,2007,725525
Alfa Romeo,alfaromeo-164,2008,706535
Alfa Romeo,alfaromeo-164,2009,481056
Alfa Romeo,alfaromeo-164,2010,511092
Alfa Romeo,alfaromeo-164,2011,465939
Alfa Romeo,alfaromeo-164,2012,472529
Alfa Romeo,alfaromeo-164,2013,400834
Alfa Romeo,alfaromeo-164,2014,386714
Alfa Romeo,alfaromeo-164,2015,402579
Alfa Romeo,alfaromeo-164,2016,371803
Alfa Romeo,alfaromeo-164,2017,385451
Alfa Romeo,alfaromeo-164,2018,410133
Alfa Romeo,alfaromeo-164,2019,291821
Alfa Romeo,alfaromeo-164,2020,233224
Alfa Romeo,alfaromeo-164,2021,137912
Alfa Romeo,alfaromeo-164,2022,68201
Alfa Romeo,alfaromeo-164,2023,19806
Alfa Romeo,alfaromeo-164,2024,2230
Alfa Romeo,alfaromeo-166,2000,480113
Alfa Romeo,alfaromeo-166,2001,458986
Alfa Romeo,alfaromeo-166,2002,510066
Alfa Romeo,alfaromeo-166,2003,640076
Alfa Romeo,alfaromeo-166,2004,653128
Alfa Romeo,alfaromeo-166,2005,665094
Alfa Romeo,alfaromeo-166,2006,669602
Alfa Romeo,alfaromeo-166,2007,725525
Alfa Romeo,alfaromeo-166,2008,706535
Alfa Romeo,alfaromeo-166,2009,481056
Alfa Romeo,alfaromeo-166,2010,511092
Alfa Romeo,alfaromeo-166,2011,465939
Alfa Romeo,alfaromeo-166,2012,472529
Alfa Romeo,alfaromeo-166,2013,400834
Alfa Romeo,alfaromeo-166,2014,386714
Alfa Romeo,alfaromeo-166,2015,402579
Alfa Romeo,alfaromeo-166,2016,371803
Alfa Romeo,alfaromeo-166,2017,385451
Alfa Romeo,alfaromeo-166,2018,410133
Alfa Romeo,alfaromeo-166,2019,291821
Alfa Romeo,alfaromeo-166,2020,233224
Alfa Romeo,alfaromeo-166,2021,137912
Alfa Romeo,alfaromeo-166,2022,68201
Alfa Romeo,alfaromeo-166,2023,19806
Alfa Romeo,alfaromeo-166,2024,2230
Alfa Romeo,alfaromeo-33,2000,480113
Alfa Romeo,alfaromeo-33,2001,458986
Alfa Romeo,alfaromeo-33,2002,510066
Alfa Romeo,alfaromeo-33,2003,640076
Alfa Romeo,alfaromeo-33,2004,653128
Alfa Romeo,alfaromeo-33,2005,665094
Alfa Romeo,alfaromeo-33,2006,669602
Alfa Romeo,alfaromeo-33,2007,725525
Alfa Romeo,alfaromeo-33,2008,706535
Alfa Romeo,alfaromeo-33,2009,481056
Alfa Romeo,alfaromeo-33,2010,511092
Alfa Romeo,alfaromeo-33,2011,465939
Alfa Romeo,alfaromeo-33,2012,472529
Alfa Romeo,alfaromeo-33,2013,400834
Alfa Romeo,alfaromeo-33,2014,386714
Alfa Romeo,alfaromeo-33,2015,402579
Alfa Romeo,alfaromeo-33,2016,371803
Alfa Romeo,alfaromeo-33,2017,385451
Alfa Romeo,alfaromeo-33,2018,410133
Alfa Romeo,alfaromeo-33,2019,291821
Alfa Romeo,alfaromeo-33,2020,233224
Alfa Romeo,alfaromeo-33,2021,137912
Alfa Romeo,alfaromeo-33,2022,68201
Alfa Romeo,alfaromeo-33,2023,19806
Alfa Romeo,alfaromeo-33,2024,2230
Alfa Romeo,alfaromeo-75,2000,480113
Alfa Romeo,alfaromeo-75,2001,458986
Alfa Romeo,alfaromeo-75,2002,510066
Alfa Romeo,alfaromeo-75,2003,640076
Alfa Romeo,alfaromeo-75,2004,653128
Alfa Romeo,alfaromeo-75,2005,665094
Alfa Romeo,alfaromeo-75,2006,669602
Alfa Romeo,alfaromeo-75,2007,725525
Alfa Romeo,alfaromeo-75,2008,706535
Alfa Romeo,alfaromeo-75,2009,481056
Alfa Romeo,alfaromeo-75,2010,511092
Alfa Romeo,alfaromeo-75,2011,465939
Alfa Romeo,alfaromeo-75,2012,472529
Alfa Romeo,alfaromeo-75,2013,400834
Alfa Romeo,alfaromeo-75,2014,386714
Alfa Romeo,alfaromeo-75,2015,402579
Alfa Romeo,alfaromeo-75,2016,371803
Alfa Romeo,alfaromeo-75,2017,385451
Alfa Romeo,alfaromeo-75,2018,410133
Alfa Romeo,alfaromeo-75,2019,291821
Alfa Romeo,alfaromeo-75,2020,233224
Alfa Romeo,alfaromeo-75,2021,137912
Alfa Romeo,alfaromeo-75,2022,68201
Alfa Romeo,alfaromeo-75,2023,19806
Alfa Romeo,alfaromeo-75,2024,2230
Alfa Romeo,alfaromeo-90,2000,480113
Alfa Romeo,alfaromeo-90,2001,458986
Alfa Romeo,alfaromeo-90,2002,510066
Alfa Romeo,alfaromeo-90,2003,640076
Alfa Romeo,alfaromeo-90,2004,653128
Alfa Romeo,alfaromeo-90,2005,665094
Alfa Romeo,alfaromeo-90,2006,669602
Alfa Romeo,alfaromeo-90,2007,725525
Alfa Romeo,alfaromeo-90,2008,706535
Alfa Romeo,alfaromeo-90,2009,481056
Alfa Romeo,alfaromeo-90,2010,511092
Alfa Romeo,alfaromeo-90,2011,465939
Alfa Romeo,alfaromeo-90,2012,472529
Alfa Romeo,alfaromeo-90,2013,400834
Alfa Romeo,alfaromeo-90,2014,386714
Alfa Romeo,alfaromeo-90,2015,402579
Alfa Romeo,alfaromeo-90,2016,371803
Alfa Romeo,alfaromeo-90,2017,385451
Alfa Romeo,alfaromeo-90,2018,410133
Alfa Romeo,alfaromeo-90,2019,291821
Alfa Romeo,alfaromeo-90,2020,233224
Alfa Romeo,alfaromeo-90,2021,137912
Alfa Romeo,alfaromeo-90,2022,68201
Alfa Romeo,alfaromeo-90,2023,19806
Alfa Romeo,alfaromeo-90,2024,2230
Alfa Romeo,alfaromeo-brera,2000,480113
Alfa Romeo,alfaromeo-brera,2001,458986
Alfa Romeo,alfaromeo-brera,2002,510066
Alfa Romeo,alfaromeo-brera,2003,640076
Alfa Romeo,alfaromeo-brera,2004,653128
Alfa Romeo,alfaromeo-brera,2005,665094
Alfa Romeo,alfaromeo-brera,2006,669602
Alfa Romeo,alfaromeo-brera,2007,725525
Alfa Romeo,alfaromeo-brera,2008,706535
Alfa Romeo,alfaromeo-brera,2009,481056
Alfa Romeo,alfaromeo-brera,2010,511092
Alfa Romeo,alfaromeo-brera,2011,465939
Alfa Romeo,alfaromeo-brera,2012,472529
Alfa Romeo,alfaromeo-brera,2013,400834
Alfa Romeo,alfaromeo-brera,2014,386714
Alfa Romeo,alfaromeo-brera,2015,402579
Alfa Romeo,alfaromeo-brera,2016,371803
Alfa Romeo,alfaromeo-brera,2017,385451
Alfa Romeo,alfaromeo-brera,2018,410133
Alfa Romeo,alfaromeo-brera,2019,291821
Alfa Romeo,alfaromeo-brera,2020,233224
Alfa Romeo,alfaromeo-brera,2021,137912
Alfa Romeo,alfaromeo-brera,2022,68201
Alfa Romeo,alfaromeo-brera,2023,19806
Alfa Romeo,alfaromeo-brera,2024,2230
Alfa Romeo,alfaromeo-giulia,2000,480113
Alfa Romeo,alfaromeo-giulia,2001,458986
Alfa Romeo,alfaromeo-giulia,2002,510066
Alfa Romeo,alfaromeo-giulia,2003,640076
Alfa Romeo,alfaromeo-giulia,2004,653128
Alfa Romeo,alfaromeo-giulia,2005,665094
Alfa Romeo,alfaromeo-giulia,2006,669602
Alfa Romeo,alfaromeo-giulia,2007,725525
Alfa Romeo,alfaromeo-giulia,2008,706535
Alfa Romeo,alfaromeo-giulia,2009,481056
Alfa Romeo,alfaromeo-giulia,2010,511092
Alfa Romeo,alfaromeo-giulia,2011,465939
Alfa Romeo,alfaromeo-giulia,2012,472529
Alfa Romeo,alfaromeo-giulia,2013,400834
Alfa Romeo,alfaromeo-giulia,2014,386714
Alfa Romeo,alfaromeo-giulia,2015,402579
Alfa Romeo,alfaromeo-giulia,2016,371803
Alfa Romeo,alfaromeo-giulia,2017,385451
Alfa Romeo,alfaromeo-giulia,2018,410133
Alfa Romeo,alfaromeo-giulia,2019,291821
Alfa Romeo,alfaromeo-giulia,2020,233224
Alfa Romeo,alfaromeo-giulia,2021,137912
Alfa Romeo,alfaromeo-giulia,2022,68201
Alfa Romeo,alfaromeo-giulia,2023,19806
Alfa Romeo,alfaromeo-giulia,2024,2230
Alfa Romeo,alfaromeo-giulietta,2000,480113
Alfa Romeo,alfaromeo-giulietta,2001,458986
Alfa Romeo,alfaromeo-giulietta,2002,510066
Alfa Romeo,alfaromeo-giulietta,2003,640076
Alfa Romeo,alfaromeo-giulietta,2004,653128
Alfa Romeo,alfaromeo-giulietta,2005,665094
Alfa Romeo,alfaromeo-giulietta,2006,669602
Alfa Romeo,alfaromeo-giulietta,2007,725525
Alfa Romeo,alfaromeo-giulietta,2008,706535
Alfa Romeo,alfaromeo-giulietta,2009,481056
Alfa Romeo,alfaromeo-giulietta,2010,511092
Alfa Romeo,alfaromeo-giulietta,2011,465939
Alfa Romeo,alfaromeo-giulietta,2012,472529
Alfa Romeo,alfaromeo-giulietta,2013,400834
Alfa Romeo,alfaromeo-giulietta,2014,386714
Alfa Romeo,alfaromeo-giulietta,2015,402579
Alfa Romeo,alfaromeo-giulietta,2016,371803
Alfa Romeo,alfaromeo-giulietta,2017,385451
Alfa Romeo,alfaromeo-giulietta,2018,410133
